SpinCore Single Pulse NMR & NQR Experiment
ADC Frequency (MHz): 75.00
Blanking Bit: 2.0
Blanking Delay (ms): 3.000
Amplitude: 1.00
Spectrometer Frequency (MHz): 29.9015
Spectral Width (kHz): 3000.00
Number of Scans: 
Pulse-Width (us): 1.5
Pulse Phase (Degrees): 0.00
Transient Delay (us): 20.0
Repetition Delay (s): 0.1
Number of Acquisition Points: 16384.0
BYPASS FIR: YES
Shape: Hard
CYCLOPS: Yes
 
Frequency (kHz), Power Spectral Density Data
-1379.8828, 41360.9133
-1379.6997, 90568.5929
-1379.5166, 60776.7566
-1379.3335, 26539.7227
-1379.1504, 53384.0308
-1378.9673, 41003.1949
-1378.7842, 33966.0073
-1378.6011, 91336.2734
-1378.4180, 27392.3219
-1378.2349, 83659.5021
-1378.0518, 20199.8891
-1377.8687, 61635.5878
-1377.6855, 6988.1806
-1377.5024, 56295.9240
-1377.3193, 66175.8974
-1377.1362, 48540.9793
-1376.9531, 34722.6883
-1376.7700, 35410.5824
-1376.5869, 43565.1673
-1376.4038, 49860.6627
-1376.2207, 34482.4709
-1376.0376, 44847.9421
-1375.8545, 86046.0270
-1375.6714, 30486.0704
-1375.4883, 35775.2054
-1375.3052, 61980.4643
-1375.1221, 31125.7637
-1374.9390, 12485.9638
-1374.7559, 56609.8063
-1374.5728, 53299.4972
-1374.3896, 10260.8756
-1374.2065, 40505.9575
-1374.0234, 50182.2032
-1373.8403, 77059.9782
-1373.6572, 26150.4456
-1373.4741, 53786.5153
-1373.2910, 76348.7294
-1373.1079, 15171.3548
-1372.9248, 40941.4198
-1372.7417, 90464.4006
-1372.5586, 89230.0350
-1372.3755, 23294.1827
-1372.1924, 46542.8452
-1372.0093, 92461.2534
-1371.8262, 40818.3901
-1371.6431, 91370.9008
-1371.4600, 13269.4838
-1371.2769, 54625.7442
-1371.0938, 14948.2751
-1370.9106, 55642.8921
-1370.7275, 74136.6787
-1370.5444, 40046.2884
-1370.3613, 27071.5300
-1370.1782, 18918.0670
-1369.9951, 39807.0461
-1369.8120, 17843.7577
-1369.6289, 22176.1172
-1369.4458, 41668.4980
-1369.2627, 51252.0194
-1369.0796, 36445.8995
-1368.8965, 62694.3358
-1368.7134, 29105.6471
-1368.5303, 53718.7334
-1368.3472, 26117.0037
-1368.1641, 69243.2006
-1367.9810, 38337.4386
-1367.7979, 13505.0322
-1367.6147, 36357.4392
-1367.4316, 21137.9087
-1367.2485, 79501.0940
-1367.0654, 106494.2597
-1366.8823, 17180.2848
-1366.6992, 10149.5665
-1366.5161, 39993.1628
-1366.3330, 36641.8149
-1366.1499, 44833.4110
-1365.9668, 38729.1158
-1365.7837, 24999.5926
-1365.6006, 4461.8946
-1365.4175, 17297.9968
-1365.2344, 51092.0781
-1365.0513, 21099.0067
-1364.8682, 34446.7941
-1364.6851, 52712.2124
-1364.5020, 81363.3823
-1364.3188, 26384.1489
-1364.1357, 34005.2886
-1363.9526, 54668.6396
-1363.7695, 47959.0490
-1363.5864, 19209.3514
-1363.4033, 47999.1917
-1363.2202, 58153.9425
-1363.0371, 40222.4969
-1362.8540, 56632.8609
